id,name
102,Abilene Police Dept.
3,Addison PD
4,Allen PD
5,Amarillo PD
100,Angelina County SO
6,Angleton PD
7,Aransas County SO
8,Aransas Pass PD
92,Arlington Police Dept.
9,Atascosa County SO
1,Austin PD
10,Azle PD
11,Balch Springs/Dallas SO
12,Balcones Heights PD
88,Baytown Police Dept.
115,Beaumont PD
13,Bellmead PD
14,Brazoria County SO
15,Brown County SO
16,Brownsville PD
17,Burnet County SO
18,Cameron County SO
19,Chambers County SO
105,Collin County Sheriffs Department
20,Conroe PD
107,Coppell Police Dept.
21,Corpus Christi PD
22,Dallas County SO
23,Dallas PD
24,Devine PD
95,Dickenson Police Dept.
25,Dimmit County SO
26,Donna PD
28,Elgin PD
27,El Paso PD
85,Ennis Police Dept.
29,Euless PD
30,Fannin County SO
31,Ferris PD
32,Fisher County SO
33,Forrest Hill PD
2,Fort Worth PD
34,Galveston PD
35,Garland PD
36,Grand Prairie PD
37,Gregg County SO
112,Harlingen Police Dept
87,Harris Constable 1
38,Harris Constable 4
39,Harris Constable 5
40,Harris County SO
98,Harris Cty Constable No. 1
41,Hempstead PD
96,Hidalgo County Sheriffs Dept.
42,Holliday Lakes PD
43,Houston County SO
44,Houston PD
45,Jasper PD
94,Jefferson County Sheriffs Department
89,Kirbyville PD
46,La Jolla PD
47,La Marque PD
48,Lancaster PD
49,Laredo PD
114,Lavaca County SO
113,Levelland PD
50,Lubbock County SO
51,Lubbock PD
106,Lufkin Police Dept
52,Lumberton PD
53,Malakof PD
54,Marshall PD
103,McAllen Police Dept.
55,Medina County SO
99,Mesquite PD
56,Mexia PD
57,Mission PD
58,Montgomery County SO
59,Nassau Bay PD
60,Orange PD
111,Parker County Sheriff's Office
61,Pasadena PD
62,Pecos County SO
63,Perryton PD
64,Plano PD
65,Port Arthur PD
104,Potter County Sheriff Dept.
66,Rio Grande City PD
67,Rockdale PD
68,Rockport PD
69,Rosenberg PD
70,Round Rock PD
71,San Angelo PD
72,San Antonio PD
110,San Patricio Sheriff's Dept
108,Sherman Police Dept.
93,Sulpher Springs Police Department
73,Tarrant County Constable 7
74,Temple PD
75,Terrell PD
77,Texas Department of Public Safety
76,Titus County SO
101,Travis County Sheriff
86,Tyler County Sheriff
78,University Park PD
109,Van Zandt Sheriff's Dept.
79,Victoria PD
80,Waco PD
81,Walker County SO
82,Weatherford PD
97,Webb County Sheriffs Dept.
83,Wichita County SO
84,Wichita Falls PD
